Sample,Class
TCGA-ZP-A9CY-01A,Tumor
TCGA-DD-AACA-01A,Tumor
TCGA-BC-A110-01A,Tumor
TCGA-FV-A3I1-11A,Normal
TCGA-UB-A7MA-01A,Tumor
TCGA-KR-A7K2-01A,Tumor
TCGA-DD-A1EC-01A,Tumor
TCGA-DD-AADN-01A,Tumor
TCGA-2Y-A9HA-01A,Tumor
TCGA-K7-A5RG-01A,Tumor
TCGA-T1-A6J8-01A,Tumor
TCGA-CC-A3MC-01A,Tumor
TCGA-ES-A2HS-01A,Tumor
TCGA-DD-A1EB-11A,Normal
TCGA-G3-A25T-01A,Tumor
TCGA-2Y-A9GU-01A,Tumor
TCGA-CC-A8HT-01A,Tumor
TCGA-ED-A7PX-01A,Tumor
TCGA-LG-A9QC-01A,Tumor
TCGA-DD-AAE9-01A,Tumor
TCGA-K7-A5RF-01A,Tumor
TCGA-XR-A8TC-01A,Tumor
TCGA-G3-AAV0-01A,Tumor
TCGA-DD-AAEK-01A,Tumor
TCGA-DD-A4NO-01A,Tumor
TCGA-ZS-A9CE-01A,Tumor
TCGA-BC-A10Z-11A,Normal
TCGA-DD-A118-11A,Normal
TCGA-ED-A7PZ-01A,Tumor
TCGA-HP-A5N0-01A,Tumor
TCGA-ED-A8O6-01A,Tumor
TCGA-CC-A3M9-01A,Tumor
TCGA-DD-AACS-01A,Tumor
TCGA-DD-AAC8-01A,Tumor
TCGA-KR-A7K8-01A,Tumor
TCGA-DD-A1EJ-11A,Normal
TCGA-DD-A1EJ-01A,Tumor
TCGA-DD-AAED-01A,Tumor
TCGA-BC-A10Y-11A,Normal
TCGA-DD-A1EE-01A,Tumor
TCGA-WX-AA44-01A,Tumor
TCGA-DD-A1EG-01A,Tumor
TCGA-DD-A1EG-11A,Normal
TCGA-2Y-A9H8-01A,Tumor
TCGA-RC-A7SB-01A,Tumor
TCGA-ZP-A9CZ-01A,Tumor
TCGA-DD-A1EI-11A,Normal
TCGA-DD-A39Z-01A,Tumor
TCGA-BD-A2L6-01A,Tumor
TCGA-2Y-A9H7-01A,Tumor
TCGA-DD-AAD0-01A,Tumor
TCGA-G3-A25X-01A,Tumor
TCGA-BD-A2L6-11A,Normal
TCGA-BC-A10R-11A,Normal
TCGA-DD-A4NB-01A,Tumor
TCGA-BC-A10R-01A,Tumor
TCGA-G3-AAV2-01A,Tumor
TCGA-DD-AAD3-01A,Tumor
TCGA-DD-A11B-01A,Tumor
TCGA-DD-A11B-11A,Normal
TCGA-DD-A11D-11A,Normal
TCGA-CC-5261-01A,Tumor
TCGA-DD-AAVW-01A,Tumor
TCGA-BC-A3KF-01A,Tumor
TCGA-G3-A5SI-01A,Tumor
TCGA-DD-AAVU-01A,Tumor
TCGA-DD-AACQ-01A,Tumor
TCGA-G3-A3CG-01A,Tumor
TCGA-DD-AAW2-01A,Tumor
TCGA-G3-AAV5-01A,Tumor
TCGA-G3-A7M8-01A,Tumor
TCGA-G3-A7M9-01A,Tumor
TCGA-G3-AAV4-01A,Tumor
TCGA-EP-A3JL-01A,Tumor
TCGA-MI-A75I-01A,Tumor
TCGA-FV-A4ZP-01A,Tumor
TCGA-DD-AAVP-01A,Tumor
TCGA-DD-AAEH-01A,Tumor
TCGA-DD-A114-01A,Tumor
TCGA-FV-A3R2-11A,Normal
TCGA-BC-4073-01B,Tumor
TCGA-KR-A7K7-01A,Tumor
TCGA-O8-A75V-01A,Tumor
TCGA-BC-A69I-01A,Tumor
TCGA-ED-A97K-01A,Tumor
TCGA-DD-A73C-01A,Tumor
TCGA-ES-A2HT-01A,Tumor
TCGA-DD-A3A1-01A,Tumor
TCGA-DD-A3A1-11A,Normal
TCGA-BC-A10T-01A,Tumor
TCGA-DD-AAVQ-01A,Tumor
TCGA-G3-A6UC-01A,Tumor
TCGA-DD-A4NG-01A,Tumor
TCGA-EP-A12J-11A,Normal
TCGA-EP-A12J-01A,Tumor
TCGA-2Y-A9GS-01A,Tumor
TCGA-BC-A10T-11A,Normal
TCGA-DD-AADO-01A,Tumor
TCGA-DD-AADP-01A,Tumor
TCGA-DD-AADI-01A,Tumor
TCGA-ED-A627-01A,Tumor
TCGA-CC-5263-01A,Tumor
TCGA-G3-A5SL-01A,Tumor
TCGA-DD-A4NS-01A,Tumor
TCGA-DD-A113-11A,Normal
TCGA-DD-AACE-01A,Tumor
TCGA-RC-A7SK-01A,Tumor
TCGA-DD-AAEA-01A,Tumor
TCGA-DD-AACG-01A,Tumor
TCGA-QA-A7B7-01A,Tumor
TCGA-FV-A495-01A,Tumor
TCGA-DD-A4NN-01A,Tumor
TCGA-G3-A25U-01A,Tumor
TCGA-ED-A4XI-01A,Tumor
TCGA-DD-A39Y-01A,Tumor
TCGA-LG-A6GG-01A,Tumor
TCGA-DD-A4NA-01A,Tumor
TCGA-BW-A5NQ-01A,Tumor
TCGA-2Y-A9GV-01A,Tumor
TCGA-G3-A3CJ-01A,Tumor
TCGA-G3-AAUZ-01A,Tumor
TCGA-DD-A73E-01A,Tumor
TCGA-BD-A3EP-11A,Normal
TCGA-BD-A3EP-01A,Tumor
TCGA-DD-AAEB-01A,Tumor
TCGA-UB-A7MC-01A,Tumor
TCGA-EP-A3RK-01A,Tumor
TCGA-EP-A3RK-11A,Normal
TCGA-MI-A75H-01A,Tumor
TCGA-2Y-A9H4-01A,Tumor
TCGA-DD-A1EA-01A,Tumor
TCGA-CC-A5UC-01A,Tumor
TCGA-FV-A496-01A,Tumor
TCGA-DD-AACV-01A,Tumor
TCGA-DD-AACU-01A,Tumor
TCGA-ZS-A9CF-01A,Tumor
TCGA-DD-AAVV-01A,Tumor
TCGA-DD-AAVR-01A,Tumor
TCGA-4R-AA8I-01A,Tumor
TCGA-DD-AACJ-01A,Tumor
TCGA-DD-AAVS-01A,Tumor
TCGA-3K-AAZ8-01A,Tumor
TCGA-ED-A7PY-01A,Tumor
TCGA-DD-A116-01A,Tumor
TCGA-DD-A1EK-01A,Tumor
TCGA-DD-AAE6-01A,Tumor
TCGA-RC-A6M6-01A,Tumor
TCGA-DD-AAC9-01A,Tumor
TCGA-UB-AA0U-01A,Tumor
TCGA-2Y-A9HB-01A,Tumor
TCGA-EP-A26S-01A,Tumor
TCGA-G3-A25S-01A,Tumor
TCGA-DD-AAEG-01A,Tumor
TCGA-UB-A7ME-01A,Tumor
TCGA-YA-A8S7-01A,Tumor
TCGA-DD-A4NQ-01A,Tumor
TCGA-DD-AADU-01A,Tumor
TCGA-DD-AAVY-01A,Tumor
TCGA-2Y-A9H2-01A,Tumor
TCGA-CC-5260-01A,Tumor
TCGA-DD-A1EH-11A,Normal
TCGA-FV-A2QR-11A,Normal
TCGA-CC-A7IF-01A,Tumor
TCGA-DD-A3A5-01A,Tumor
TCGA-DD-AACY-01A,Tumor
TCGA-DD-AACC-01A,Tumor
TCGA-CC-A7IH-01A,Tumor
TCGA-BW-A5NO-01A,Tumor
TCGA-CC-A7IJ-01A,Tumor
TCGA-G3-AAV1-01A,Tumor
TCGA-DD-AACI-01A,Tumor
TCGA-CC-A9FS-01A,Tumor
TCGA-GJ-A3OU-01A,Tumor
